Designator,Mid X,Mid Y,Rotation,Layer
C101,97.275,-133.95,270.0,top
C102,98.525,-131.6,0.0,top
C103,98.35,-113.115,0.0,top
C104,108.4,-135.125,180.0,top
C105,108.4,-134.1,180.0,top
C106,108.4,-133.075,180.0,top
C107,110.425,-124.3,90.0,top
C108,108.7,-122.625,0.0,top
C109,99.32,-128.87,180.0,top
C110,110.875,-128.85,0.0,top
C111,110.875,-129.85,0.0,top
C112,105.675,-134.1,270.0,top
C113,100.025,-124.775,90.0,top
C114,98.95,-124.78,90.0,top
C115,115.5225,-145.2625,270.0,top
C116,114.5625,-145.2625,270.0,top
C117,113.1375,-139.5875,180.0,top
C118,114.9625,-139.5875,0.0,top
C119,118.2875,-145.2875,270.0,top
C120,119.2875,-145.2875,270.0,top
C121,118.7,-139.5875,0.0,top
C122,116.8875,-139.5875,180.0,top
C123,107.0,-113.525,90.0,top
C124,108.025,-113.525,90.0,top
C125,109.05,-113.525,90.0,top
C126,118.175,-119.7575,90.0,bottom
C127,116.025,-119.7575,90.0,bottom
C128,106.0,-140.65,180.0,top
C129,109.95,-140.675,0.0,top
C132,114.025,-148.825,90.0,top
C133,113.25,-152.025,180.0,top
CARD101,114.9,-127.475,0.0,bottom
CN101,98.325,-144.95,0.0,top
R101,99.95,-136.375,0.0,top
R102,93.81,-113.115,0.0,top
R104,112.65,-119.7575,90.0,bottom
R105,113.8,-119.7575,90.0,bottom
R106,114.95,-119.7575,90.0,bottom
R107,120.4,-119.7575,90.0,bottom
R108,119.25,-119.7575,90.0,bottom
R109,117.1,-119.7575,90.0,bottom
U101,105.3,-127.85,0.0,top
U102,96.0,-116.54,0.0,top
U103,108.025,-116.1,180.0,top
U104,115.125,-142.1625,270.0,top
U105,118.7875,-142.1625,270.0,top
U106,109.2,-146.375,90.0,top
U107,90.1375,-131.15,90.0,bottom
Y101,99.95,-133.95,0.0,top
